Titulo,Autor,Revista,Año,Editor,URL,Citado
"Digital twin: Enabling technologies, challenges and open research","Fuller, Aidan and Fan, Zhong and Day, Charles and Barlow, Chris",IEEE access,2020,IEEE,"https://scholar.google.com/scholar?cites=14409830151244033&as_sdt=2005&sciodt=0,5&hl=es",1170.0
Deep learning in glaucoma with optical coherence tomography: a review,"Ran, An Ran and Tham, Clement C and Chan, Poemen P and Cheng, Ching-Yu and Tham, Yih-Chung and Rim, Tyler Hyungtaek and Cheung, Carol Y",Eye,2021,Nature Publishing Group UK London,"https://scholar.google.com/scholar?cites=8954082933056739998&as_sdt=2005&sciodt=0,5&hl=es",69.0
Machine learning and deep learning applications-a vision,"Sharma, Neha and Sharma, Reecha and Jindal, Neeru",Global Transitions Proceedings,2021,Elsevier,"https://scholar.google.com/scholar?cites=16263748242046016632&as_sdt=2005&sciodt=0,5&hl=es",151.0
A survey of complex-valued neural networks,"Bassey, Joshua and Qian, Lijun and Li, Xianfang",arXiv preprint arXiv:2101.12249,2021,,"https://scholar.google.com/scholar?cites=12448926377851296511&as_sdt=2005&sciodt=0,5&hl=es",86.0
Ensemble learning of diffractive optical networks,"Rahman, Md Sadman Sakib and Li, Jingxi and Mengu, Deniz and Rivenson, Yair and Ozcan, Aydogan",Light: Science \& Applications,2021,Nature Publishing Group UK London,"https://scholar.google.com/scholar?cites=9492514194730268758&as_sdt=2005&sciodt=0,5&hl=es",82.0
Machine learning activation energies of chemical reactions,"Lewis-Atwell, Toby and Townsend, Piers A and Grayson, Matthew N",Wiley Interdisciplinary Reviews: Computational Molecular Science,2022,Wiley Online Library,"https://scholar.google.com/scholar?cites=11023774757472210147&as_sdt=2005&sciodt=0,5&hl=es",30.0
"Deep learning for manufacturing sustainability: Models, applications in Industry 4.0 and implications","Jamwal, Anbesh and Agrawal, Rajeev and Sharma, Monica",International Journal of Information Management Data Insights,2022,Elsevier,"https://scholar.google.com/scholar?cites=13503238026844757546&as_sdt=2005&sciodt=0,5&hl=es",19.0
Smartphone-based platforms implementing microfluidic detection with image-based artificial intelligence,"Wang, Bangfeng and Li, Yiwei and Zhou, Mengfan and Han, Yulong and Zhang, Mingyu and Gao, Zhaolong and Liu, Zetai and Chen, Peng and Du, Wei and Zhang, Xingcai and others",Nature Communications,2023,Nature Publishing Group UK London,"https://scholar.google.com/scholar?cites=4474620002700314193&as_sdt=2005&sciodt=0,5&hl=es",17.0
