Titulo,URL
Deep learning in glaucoma with optical coherence tomography: a review,"https://scholar.google.com/scholar?cites=8954082933056739998&as_sdt=2005&sciodt=0,5&hl=es"
Machine learning and deep learning applications-a vision,"https://scholar.google.com/scholar?cites=16263748242046016632&as_sdt=2005&sciodt=0,5&hl=es"
Ensemble learning of diffractive optical networks,"https://scholar.google.com/scholar?cites=9492514194730268758&as_sdt=2005&sciodt=0,5&hl=es"
Machine learning activation energies of chemical reactions,"https://scholar.google.com/scholar?cites=11023774757472210147&as_sdt=2005&sciodt=0,5&hl=es"
"Deep learning for manufacturing sustainability: Models, applications in Industry 4.0 and implications","https://scholar.google.com/scholar?cites=13503238026844757546&as_sdt=2005&sciodt=0,5&hl=es"
